[Song]                              [Artist]
Yours for a Night                   Whodini
Attack Me With Your Love            Cameo
Hips                                Mtume
Do You Love What You Feel           Rufus & Chaka Khan
Wet My Whistle                      Midnight Star
Let Me Be the One                   Five Star
The Finest                          The S.O.S Band
So Amazing                          Luther Vandross
Feels So Real (Won't Let Go)        Patrice Rushen
I Didn't Mean To Turn You On        Cherrelle
777-9311                            The Time
Watching You                        Slave
Brick House                         Commodores
Ladies Night                        Kool & The Gang
I Found Lovin'                      Fatback Band
I'll Be Good                        Rene & Angela
Call Me                             Skyy
Mr. Goove                           One Way
Stone Love                          Kashif
You Are in My System                The System
There It Is                         Shalamar
Single Life                         Cameo
