[Song]                              [Artist]
Absent Voice                        Autumn Creatures
Drones                              Oh Hiroshima
Wolmar                              Audrey Fall
Albatross                           The Chasing Monster
Emergent                            sleepmakeswaves
Taijin Kyofusho                     The Evpatoria Report
Transconsciousness                  Compass & Knife
The Smoke Saves Lives               Kyte
Challenger part 1- Flight           We Lost the Sea
Values                              Show Me A Dinosaur
Victory Memorial                    Goodbye, Titan
Gizmo                               We Made God
Yos                                 Spoiwo
Quiet                               This Will Destroy You
Zaris                               Mooncake
Challenger part 2- A Swan Song      We Lost the Sea
