[Song]                              [Artist]
Cold Hope                           Pelican
Clawmaster                          Ghost Brigade
.De Dodenakker.                     Amenra
King Ivory Tower                    Rosetta
Reflection Pulse Remains            Altar of Plagues
Aura                                Omega Massif
Nihilistic                          Cult of Occult
Perséphone II                       Year of no Light
The Proposition                     Archivist
Brittle Bones                       Autism
Widowed                             YLVA
Meridians                           Dirge
to: Achlys                          Cult Leader
