[Song]                              [Artist]
A Sudden Cold                       Winter Severity Index
Into the Wild                       Agent Side Grinder
Time                                Whispering Sons
Fire Fire Fire                      Geometric Vision
Zemmoa                              Ritual Howls
We Need                             Ssleeping Desiress
Monument                            The Agnes Circle
People Are Poison                   Cold Cave
Valentine                           DIIV
Martial Love                        The Agnes Circle
The Vessel (Part Time Punks         Twin Tribes
   Session)
Caught In Time, So Far Away         You'll Never Get to Heaven
Colourless Dream                    Sad Lovers & Giants
Love Letters                        Corners
Come Before Christ and Murder       Death in June
   Love
Fixation                            The KVB
Thin Flesh                          Traitrs
Country Girl                        Boy Harsher
This Grotesque Dance                Bragolin
The Source                          Void Vision
Theurgist                           True Widow
Bloodhail                           Have a Nice Life
Control                             Pleasure Symbols
Mer                                 Chelsea Wolfe
Stop Suffering                      Tropic of Cancer
Alien Observer                      Grouper
