[Song]                              [Artist]
Drift                               Slow Crush
Window from the Old House           Traitrs
On High                             Soundpool
The Wake                            Double Echo
Tether                              Blushing
That Salty Taste                    Ono Scream
Dry                                 Whirr
Estasis                             Dead Serpent
The Drowning Man                    The Cure
Fallen Stars                        SPC ECO
Persephone                          Cocteau Twins
Pale Blue Dot                       Box And The Twins
The Empty Space                     The Eden House
Cold Morning                        Air Formation
The Monolith                        The Daysleepers
Dragging                            Gleemer
Bleach                              A Thousand Hours
Opium                               Dead Can Dance
Silver Screen                       Life On Venus
Albatross                           Star Horse
Stir About the Stars                Love Spirals Downwards
Drifting                            Lycia
No More Words                       In A Split Second
