[Song]                              [Artist]
Song About Me                       TV Girl
The Glitzy Hive                     Neon Indian
The Haste                           Casa del Mirto
Rare Candy                          Blackbird Blackbird
Domino                              Gardens & Villa
Floating By                         Washed Out
Sanctuary                           Young Magic
Cherry                              Chromatics
Desire                              First Beige
Cosmic Perspective                  Mndsgn
Relocate                            Kauf
Golden Light                        STRFKR
Road Head                           Japanese Breakfast
Marijuana                           Chrome Sparks
Say That                            Toro y Moi
Ready For It                        RAC
Shallow Water                       Wild Nothing
Miasma Sky                          Baths
Feels                               Giraffage
Black Car                           Beach House
Konichiwa                           Donny Benét
Licking an Orchid                   Yves Tumor
Georgia                             Kevin Abstract
Aquarius                            Boards of Canada
Crush                               Duckwrth
Locket                              Crumb
Cyanide Sisters                     Com Truise
Dark & Handsome                     Blood Orange
Hunnybee                            Unknown Mortal Orchestra
The Other Side of Paradise          Glass Animals
aisatsana [102]                     Aphex Twin
