[Song]                              [Artist]
Way Farer (2017 Version)            Sung
Imperivm                            Vogel
Destroyer                           Meteor
Strange Hope                        Absolute Valentine
Don't Fear the Sun                  Maxthor
The Ride (Into the Midnight)        Kalax
Starcrash                           Stilz, Takahashi Jones
1.4_2-impenetrable.sd2              Mac Quayle
Wheels of Steel                     Sinclair 808
Awakening With You (PYLOT Remix)    Scandroid
The Drone Racing League             Gunship
Yakuza (feat. Alex & Ultraboss)     Tokyo Rose
Nightdrive Overdrive (Road to the   Abobo
   Pool Party)
Metrocenter 84                      Sunset Neon
Artifact                            Waveshaper
Streetwalker                        Nightstop
Dark Prince, Pt. 3                  Atrey
Them or Us                          Highway Superstar
Chinatown                           Starcadian
Electric Paradise                   Le Cassette
Bad Dream Baby                      September 87
Contrivance                         Thomas Barrandon
Ecstasy                             Mezhdunami
Omicron                             Zombie Hyperdrive
Transhuman (feat. The Grind         Ex Machina
   Theory)
Ameonna                             Hello Meteor
'85 Again (feat. Miss K)            Robert Parker
