Power noise and rhythmic  noise, thank  you  to  everyone  who  listened, even
though the stream drops constantly. If you missed it,  archive is  linked from
the LOW WIRE gophermap.

[Song]                              [Artist]
Flower                              Converter
Limbic System Desintegration        Le Moderniste
4C69 7474 6C65 205A 205A 6973 7461  5F_55
Joy to the World                    Combichrist
Electronic Symmetry                 Geistform
Daichi No Musuko / Atatori Musuko   Nin Kuji
Mantra 1                            Merzbow
Fax                                 Professor Richmann
